gem_mine_id,msha_id,country_area,mine_name,mine_name_akas,mine_name_non_eng,complex_name,gem_wiki_page_eng,gem_wiki_page_non_eng,status,status_detail,project_type,project_phase,owners,owners_gem_entity_id,owners_non_eng,parent_company,company_hqs,capacity_mtpa,production_mtpa,year_of_production,coal_output_annual_mst,mine_type,mining_method,mine_size_km2,mine_depth_m,depth_accuracy,workforce_size,workforce_accuracy,coal_type,coal_grade,percentage_of_met_coal,percentage_of_thermal_coal,accuracy_rating,reported_year_of_percentage_split,total_reserves_proven_and_probable_mt,year_of_total_reserves_recorded,total_resource_inferred_indicated_measured,reserve_to_production_ratio_r_p,opening_year,closing_year,reported_life_of_mine,reported_year_of_mine_life,coalfield,latitude,longitude,location_accuracy,primary_consumer_destination,primary_consumer_destination_name,primary_consumer_destination_gem_wiki,gas-level_rating,gas-level_rating_appraisal_year,reported_coal_mine_methane_emissions_thousand_tonnes_ch4,reported_coal_mine_methane_emissions_thousand_tonnes_co2_equivalent,year_of_reported_coal_mine_methane_emissions,source_id,has_associated_plume_data,has_associated_cmm_mitigation_data,gem_coal_mine_methane_emissions_estimate_mcm_yr,gem_coal_mine_methane_emissions_estimate_m_tonnes_yr,cmm_emissions_co2e_20_years,cmm_emissions_co2e_100_years,parent_gem_entity_id,location_non_eng,reference_type,methane_emissions_factor,methane_gas_content_m_3_tonne,mine_boundary_and_methane_emissions_sources_data_available_,has_mine_boundary_and_methane_emissions_sources_data_
M0419,,China,Yushuwan Coal Mine,,榆林市榆神煤炭榆树湾煤矿有限公司（榆树湾煤矿）,,,https://www.gem.wiki/榆林市榆神煤炭榆树湾煤矿有限公司（榆树湾煤矿）,Operating,,New,,Yulin Yushen Yushuwan Coal Mine Company,,,,China,18.0,,2024.0,,Underground,Longwall,,,Exact,1066.0,Exact,Bituminous,Thermal & Chemical,,,,,155.0,2023.0,1577.0,9.0,2012.0,,59.0,2023.0,Northern Shaanxi Jurassic,38.557184,109.897685,Exact,Chemical Plant,兖矿集团榆林能化有限公司,,低瓦斯,2022.0,,,,,N,N,266.83,0.1788,14.75,5.33,,陕西省榆林市榆阳区金鸡滩镇,,1.6,13.3,N,
M0420,,China,Yuwang No.1 Coal Mine,,华能云南滇东能源有限责任公司矿业分公司雨汪煤矿一井,,,https://www.gem.wiki/华能滇东矿业分公司雨汪煤矿一井,Proposed,Test Operation,New,,Huaneng Diandong Mining Company,,,,China,3.0,,,,Underground,,,,Exact,,,Anthracite,Thermal,,,,,477.0,2014.0,,159.0,,,114.0,2014.0,,25.129802,104.55404,Exact,,,,突出矿井,2022.0,,,,,N,N,100.72,0.0675,5.57,2.01,,云南省曲靖市富源县十八连山镇,,1.6,30.1,N,
M0421,,China,Yuwu Coal Mine,,山西潞安集团余吾煤业有限责任公司,,,https://www.gem.wiki/山西潞安集团余吾煤业有限责任公司,Operating,,,,Shanxi Lu'an Group Yuwu Coal Industry Company,,,,China,7.5,,2023.0,,Underground,Longwall,,,Estimate,4410.0,Exact,Bituminous,Thermal,,,,,277.0,2022.0,1211.0,37.0,2007.0,,29.0,2022.0,,36.364173,112.858361,Exact,,,,高瓦斯,2024.0,,,,,Y,Y,111.28,0.0746,6.15,2.22,,山西省长治市屯留县余吾镇,,1.6,13.3,Y,
M0422,,China,Yuxi Coal Mine,,山西兰花科创玉溪煤矿有限责任公司,,,https://www.gem.wiki/山西兰花科创玉溪煤矿有限责任公司,Operating,,New,,Shanxi Lanhua Sci-tech Yuxi Coal Mine Company,,,,China,2.4,,2024.0,,Underground,Longwall,,,Estimate,1967.0,Estimate,Anthracite,Thermal & Chemical,,,,,128.0,2024.0,209.0,53.0,2021.0,,42.0,2019.0,,35.708323,112.625169,Exact,,,,突出矿井,2024.0,,,,,Y,N,63.17,0.0423,3.49,1.26,,山西省晋城市沁水县胡底乡玉溪村,,1.6,23.6,N,
M3833,,China,Yuxian Yuquan Coal Mine,,山西阳泉盂县玉泉煤业有限公司,,,https://www.gem.wiki/山西阳泉盂县玉泉煤业有限公司,Operating,,Resource Consolidation and Restructuring,,Shanxi Yangquan Yuquan Coal Industry Company,,山西阳泉盂县玉泉煤业有限公司,,China,1.2,,,,Underground,Longwall,,,Exact,884.0,Estimate,Bituminous,Thermal,,,,,16.0,,43.0,13.0,2024.0,,10.0,,Qinshui,38.020599,113.433688,Exact,,,,,,,,,,N,N,22.51,0.0151,1.24,0.45,,山西省阳泉市盂县路家村镇观沟村,,1.6,16.8,N,
M0423,,China,Yuxin Coal Mine,,新疆轮台县玉鑫工贸有限责任公司玉鑫煤矿,,,https://www.gem.wiki/新疆轮台县玉鑫工贸有限责任公司玉鑫煤矿,Proposed,Construction,New,,Xinjiang Luntai County Yuxin Industry and Trade Company,,,,China,1.2,,,,Underground,,,,Estimate,,,Bituminous,Thermal,,,,,174.0,2021.0,340.0,145.0,2026.0,,104.0,2021.0,,41.995516,84.59275,Approximate,,,,低瓦斯,2021.0,,,,,N,N,17.81,0.0119,0.98,0.36,,新疆维吾尔自治区巴音郭楞蒙古自治州轮台县杨霞镇,,1.6,13.3,N,
M0424,,China,Zaoquan Coal Mine,,国家能源集团宁夏煤业有限责任公司枣泉煤矿,,,https://www.gem.wiki/神华宁夏煤业集团有限责任公司枣泉煤矿,Operating,,,,China Energy Group Ningxia Coal Industry Co,,,,China,8.0,,2025.0,,Underground,Longwall,,,Exact,1628.0,Estimate,Bituminous,Thermal & Chemical,,,,,526.0,2023.0,965.0,66.0,2006.0,,76.0,2023.0,,37.927679,106.535664,Exact,,,,低瓦斯,2022.0,,,,,N,N,142.06,0.0952,7.85,2.84,,宁夏回族自治区灵武市马家滩镇,,1.6,15.9,N,
M2291,,China,Zengzifang Coal Mine,,大同煤矿集团铁峰煤业有限公司增子坊煤矿,,,https://www.gem.wiki/大同煤矿集团铁峰煤业有限公司增子坊煤矿,Operating,,,,Datong Coal Mining Group Tiefeng,E100002009583,,Datong Coal Mining Group Tiefeng [100.0%],China,3.0,,2022.0,,Underground,Longwall,,,Exact,588.0,Exact,Bituminous,Thermal & Met,50.0,50.0,Estimated,2011.0,117.0,2012.0,183.0,39.0,1972.0,,45.0,2018.0,Datong,39.797918,112.582656,Exact,Coal Plant,Huadian Shuozhou power station,https://www.gem.wiki/Huadian_Shuozhou_power_station,低瓦斯,2024.0,,,,,N,N,36.52,0.0245,2.02,0.73,E100002009583 [100.0%],山西省朔州市右玉县元堡镇增子坊村,,1.6,10.9,N,
M0425,,China,Zhahazhuoer Surface Coal Mine,,扎鲁特旗扎哈淖尔煤业有限公司扎哈淖尔露天煤矿,,,https://www.gem.wiki/内蒙古霍林河露天煤业股份有限公司扎哈淖尔露天煤矿,Operating,,,,Inner Mongolia Huolinhe Open-Pit Coal Industry Company,,,,China,18.0,,2022.0,,Surface,Open Pit,,,Exact,4046.0,Exact,Lignite,Thermal,,,,,560.0,2022.0,,31.0,2010.0,,36.0,,,45.378683,119.423037,Exact,,,,,,,,,,N,N,58.12,0.0389,3.21,1.16,,内蒙古自治区通辽市扎鲁特旗扎哈淖尔镇,,1.5,3.1,N,
M2292,,China,Zhaiyadi Coal Mine,,山西柳林寨崖底煤业有限公司,,,https://www.gem.wiki/山西柳林寨崖底煤业有限公司,Operating,,,,Shanxi Liulin Zhaiyadi Coal Industry Company,,,,China,1.75,,2022.0,,Underground,Longwall,,,Exact,1705.0,Exact,Bituminous,Met,,,,,24.0,2020.0,,14.0,2000.0,,9.0,,Hedong,37.359341,111.026496,Exact,,,,高瓦斯,2024.0,,,,,N,Y,22.67,0.0152,1.25,0.45,,山西省吕梁市柳林县陈家湾乡下罗候村,,1.6,11.6,N,
